 /*
 /*          2000  particles ejected randomly from planet #            5
 /*      at velocity    4.00000000000000       km/sec
 /*      using random number seed =           -1
 /*
 /*          a, AU                 e              i ,degrees
 /*
  1.2463367    0.1871535    20.04779    
  1.9156995    0.5585794    7.11155    
  0.9325740    0.3448711    26.79735    
  1.0878916    0.5708843    2.13131    
  0.8755463    0.3179371    21.80648    
  1.8742469    0.3957962    11.93946    
  1.2969138    0.3516198    15.26526    
  2.1154399    0.4433606    43.13670    
  1.2058354    0.1947923    10.84055    
  2.8033754    0.5871265    4.06168    
  1.1895485    0.1903608    5.88422    
  1.4094580    0.2804260    18.94340    
  2.0725837    0.5351982    1.43095    
  2.7123331    0.6101155    27.56322    
  1.5980681    0.7732446    5.89461    
  1.8262529    0.3748847    22.43019    
  2.2995324    0.6947962    5.20460    
  2.3273916    0.5843894    19.19201    
